成果标题
外包空间数据库的完整性保证机制
基于多开发者社区的用户推荐算法
面向多表数据连接投影和连接顺序的优化方法
一种大规模双网络中k-连通Truss子图发现算法
DE-ELM-SSC+半监督分类算法
面向Flink迭代计算的高效容错处理技术
基于LSH的时间序列DTW相似性查询
一种面向大规模序列数据的交互特征并行挖掘算法
面向时序图数据的快速环枚举算法
轻量非对齐卷积神经网络模型探索
基于多目标演化聚类的大规模动态网络社区检测
面向Flink迭代作业的动态资源分配策略
基于频率的Read Mapping种子选择算法
基于解耦概要图的大规模图数据高效分布式挖掘算法
一种带有长度和位置约束的字符串索引方法
一种分布式异构带宽环境下的高效数据分区方法
面向中文医疗问答网站的相似问题检索研究
基于图像分割的肺结节CT图像哈希检索
基于胸部X 射线影像的常见疾病预测方法研究
基于图卷积神经网络的胸部放射影像疾病分类方法
结合边缘轮廓和姿态特征的人体精确解析模型
基于主题模型的胸部X光片诊断报告异常检测方法
基于改进YOLO算法的肺部CT图像中结节检测研究
基于多模型融合方法的肺结节良恶性分类
基于特征选择与残差融合的肝肿瘤分割模型
基于CNN多层面二阶特征融合的肺结节分类
基于LDA和卷积神经网络的半监督图像标注方法
基于多层聚焦Inception-V3卷积网络的细粒度图像分类
面向肺结节多语义特征分类的不确定性多任务损失方法
面向大规模图像检索的深度强相关散列学习方法
基于SHN模型的商品图像检索方法
HRB500E抗震钢筋中钛化物析出热力学分析
Nb/V 复合强化对高强度钢筋显微组织和性能的影响
氧化铝/二氧化铈X射线衍射及拉曼光谱研究
钢中非金属夹杂物图像/图谱表征技术
高强抗震钢筋中铌的碳、氮化物析出热力学研究
镁处理高碳硬线钢中夹杂物
SWRS82B钢中稀土元素对氧化铝改性的晶体学
稀土钇对 SWRS82B 硬线钢中 B 类夹杂物的变性行为影响
高碳硬线钢中B类夹杂物变性研究现状与进展
镧对高碳硬线钢中Al2O3夹杂物改性的晶体学分析
氧化铝/氧化镧 X射线衍射及拉曼光谱研究
NbC对HRB500钢筋凝固过程中异质形核与晶粒 细化的影响
稀土镧对SWRS82B钢中氧化铝夹杂物的影响
HRB500E 钢中第二相 VC 的异质形核分析与晶粒细化
高钛含量对高强度抗震钢筋组织和力学性能的影响
手掌参多糖对60Co-γ射线辐射小鼠造血和抗氧化功能损伤的治疗作用研究
PLGA 纳米粒作为药物载体的靶向作用研究进展
脂质立方液晶作为药物载体的靶向作用研究进展
融合无人机载激光雷达与多光谱遥感数据的冬小麦叶面积指数反演
基于全波段高光谱的冬小麦生长参数估算方法比较
基于GLUE的土壤溶质运移参数反演及不确定性
宇宙射线中子法在农田土壤水分监测中的适用性
激发式秸秆还田对麦季潮土团聚体中酶活性的影响
宇宙射线中子法在土壤水分监测研究中的应用进展
功能性聚脲弹性体的制备及γ射线辐照对其性能的影响
压缩感知理论在地学空间数据重构中的应用进展
高显指白光PiG荧光薄膜制备与激光照明应用
基于ZnO:In纳米棒阵列的X射线闪烁转换屏制备与性能研究
通过Pr~(3+)掺杂SrZnOS实现应力发光颜色调控及其应力发光机理
中子探测用闪烁材料研究进展
Lu2Si2O7:Ce纳米晶的溶胶-凝胶法合成和闪烁性能
微波消融治疗肿瘤免疫效应研究进展
微波消融辅助治疗股骨近端巨细胞瘤的应用研究
影像引导下经皮微波消融治疗骨转移癌性疼痛
微波消融在四肢骨巨细胞瘤合并病理性骨折治疗中的应用
微波消融治疗肿瘤的免疫效应研究进展
肿瘤亲骨转移与代谢适应性研究进展
不同应力路径下灰砂岩力学特性与强度参数研究
等体积空孔直眼掏槽槽腔形成过程及其分析
拉应力作用下黑砂岩剪切破裂面粗糙度表征及各向异性特征研究
以监测报警数据驱动的综合管廊运维动态风险评价
基于熵算法改进的故障树-云模型风险分析方法
知识图谱改进的施工行为安全风险与危险位置识别算法
TNF-α-308G/A 基因多态性与 TNF-α 抑制药治疗类风湿关节炎疗效相关性的 Meta 分析
基于图像特征和光流场的非刚性图像配准
一种基于模糊主动轮廓的鲁棒局部分割方法
不同水岩作用下砂岩的力学参数演化特征
A Geo-Ecological Study and Application of Elastoplastic Damage Constitutive Model for Mudstone
高地应力硬脆性围岩开挖损伤区时滞性破坏案例分析——特征与机理
低比转速离心泵叶轮瞬态空化特性分析
单叶片离心泵蜗壳内二次流的非定常特性研究
喉管与喷嘴截面积比对射流式鱼泵输送性能及鱼损的影响
移动健康应用进展
"Development of theory- and evidence-based, individualized, and intelligent interventions to promote the adoption and maintenance of healthy diet and physical activity in patients with coronary heart disease"
TC17合金电子束焊接接头高周疲劳失效行为研究
水量分配方案组织实施评价指标体系研究
跨流域调水工程水量配置与调度耦合方法研究
基于生态系统服务的水生态资产负债表研究
水库汛限水位实时动态控制方案优选研究
基于可变集理论的流域防洪风险评价
大水头变幅长引水系统水电站甩负荷导叶三段关闭规律
尾水主洞长度对抽水蓄能电站尾水管进口最小压力的影响
高水头抽水蓄能电站输水系统上平段末最小压力的影响因素研究
含长连接管的调压室流量系数改进研究
可变速抽蓄机组运行转速对甩负荷过渡过程的影响
混合式抽水蓄能电站过渡过程研究
设置尾水连通管的抽水蓄能电站引水发电系统小波动稳定分析
水泵水轮机反S特性对甩负荷过程压强的影响
考虑长引水隧洞摩阻的水锤解析法
机组导叶关闭规律对相继甩工况的影响
基于同伦函数的水电站小波动特征值研究
气垫式水下岩塞爆破过渡过程水力特性研究
考虑接力器特性的导叶关闭规律
窄缝消能工冲击波及水翅特性研究
琴键堰水力特性数值模拟
基于集对分析-可变模糊集耦合方法的溃坝环境影响评价
改进的集对分析法在溃坝社会影响评价中的应用
基于模糊集理论的土石坝开裂破坏风险分析
基于广义集对分析法的溃坝环境影响评价
基于未确知集对联系数法的溃坝社会影响评价
溃坝风险后果研究现状与发展趋势
土石坝施工期安全风险—成本风险综合评价
基于改进可变模糊集法的溃坝生命损失评价及其应用
面向工业互联网的制造服务协作等级协议轻量级框架研究
面向模型重用的仿真云服务平台设计与实现
基于知识工程的船体焊接工艺研究
新型预应力路基水平附加应力计算的图表法
砂井径向排水的不均匀固结效应及简易量化方法
深厚软土区超长桩基压缩变形测试及分析
新型预应力路基坡面法向附加应力扩散规律分析
预应力路堤附加围压场与围压增强效应
湖北省晚稻灌溉定额计算参数与修订方法研究
湖北省中稻灌溉定额修订研究
湖北省早稻灌溉定额修订方法研究
不同水肥综合调控模式下水稻生长特征_水肥利用率及氮磷流失规律
湖北省农田水利工程运行维护监管现状及问题对策研究
基于ORYZA_V3模型的水稻水肥综合调控模式研究
举水干流水功能区纳污能力计算研究
高拱坝仓面施工时空冲突分析与调整方法研究
基于GPS-UWB组合定位技术的缆机施工防碰研究
基于高拱坝坝体生长特征的缆机调度仿真研究
~(79)Se与黄铁矿反应路径模拟研究
2-线和6-线水铁矿对水中砷的吸附解吸行为研究
改性纳米零价铁去除水中Se(Ⅵ)的机理
不同组成有机质对土壤中砷迁移行为的影响
基于CiteSpace的农业领域水-能-粮纽带研究进展
基于XPS对硫铁矿去除SeO_3~(2-)的机理研究
超声喷丸对钢基体表面发黑膜耐蚀性的影响
鱼类友好型水轮机设计研究综述
桨叶调节对轴流式水轮机甩负荷特性影响研究
具有加性时变时滞神经网络的稳定性分析
一种改进的中立型时滞系统稳定性
中立型四元数神经网络的稳定性分析
二阶凸优化不等式及加性时变时滞系统的稳定性研究
广义Pythagorean模糊软集及其在医疗诊断中的应用
新的Jensen类二重积分不等式的改进
新型冠状病毒疫苗设计原理与研究进展
基于用水满意度的水资源优化配置模型研究
山西省农业水资源与经济发展响应关系评价
基于CiteSpace的农业WEF纽带研究进展
不同侧压力系数下裂隙网络岩体非线性渗流特性
沉积物重金属的随机生态风险评价模型
基于健康风险的致癌重金属灰水足迹研究
基于健康风险的改进CCME WQI模型及其应用
基于地累积向量模型的湖泊沉积物重金属污染评价
基于理化-生物指标与CCMEWQI模型的水质综合评价
基于健康风险的改进内梅罗指数模型
基于灰关联分析的改进地累积指数模型
熵权法在地下水环境质量评价中的局限性
基于模糊可变集合理论的改进型加拿大水质指数评价方法及应用
基于不确定分析的改进灰水足迹模型及应用
基于四阶矩估计的机器人运动可靠性分析
电极损耗分层预变形补偿方法
基于SWAT模型的淮河上游流域设计洪水修订
1960-2016年三峡库区极端降水事件时空变化特征
淮河上游植被对气象干旱的响应
三峡库区气象干旱演变特征及致灾因子危险性评价
基于耗水视角的水资源承载能力及其支撑流域调水规模研究
油气井下光纤光栅温度压力传感器
Research Progress on S Fiber Taper
内镶贴片式滴灌带局部水头损失试验研究
基于非敏感信息分析的轨迹数据隐私保护发布
基于SVD填充的混合推荐算法
Top-Down grid位置敏感哈希k匿名隐私保护
群智感知中基于k-匿名的位置及数据隐私保护方法研究已勘误
基于区域划分的轨迹隐私保护方法
传感器网络中基于路线的隐私保护数据聚集算法
基于BP神经网络的异常轨迹检测方法
基于Geohash编码的位置隐私保护算法
障碍空间中基于并行蚁群算法的k近邻查询
基于地理社交网络的频繁位置隐私保护算法
一种基于单点收益的轨迹隐私保护方法
基于优化局部抑制的轨迹数据发布隐私保护算法
基于信息熵抑制的轨迹隐私保护方法
路网环境下的语义多样性位置隐私保护方法
面向连续查询的敏感语义位置隐私保护方案
基于KD树最优投影划分的k匿名算法
