成果作者,成果标题
"['孙洪波', '国旗', '于永森']",一种螺旋形蓝宝石光纤布拉格光栅、制备方法及其应用
"['孙洪波', '潘学鹏', '于永森', '国旗']",一种利用飞秒激光直写技术制备啁啾光纤光栅的方法
"['于永森', '郭万美', '国旗', '王博', '金光勇']",一种S形光纤锥免疫传感器、制备方法及其应用
"['王剑', '杨婷', '魏涛', '陈瑞', '张发坤']",确定地下滴灌管上式滴头流量及土壤水正压的测定装置
"['陈传明', '俞庆英', '胡桂银', '陈付龙', '罗永龙']",基于三维网格划分的隐私保护轨迹数据发布方法
"['孙丽萍', '罗永龙', '刘君', '鲍舒婷', '郑孝遥', '陈付龙']",网络中重叠社团的挖掘方法
"['王涛春', '胡桂银', '接标', '左开中', '陈付龙', '刘盈', '罗永龙']",一种基于红外传感器的吊扇
"['郭良敏', '朱莹', '罗永龙', '郑孝遥', '孙丽萍']",基于信任激励和位置隐私保护的k近邻查询方法
"['汪小寒', '罗永龙', '张泽培', '何增宇', '胡王悟']",特征化密度峰聚类的出租车热点区域提取方法
"['鲍舒婷', '孙丽萍', '慈尚', '郑孝遥', '罗永龙']",一种隐私保护的共享近邻密度峰聚类方法
"['郑孝遥', '孙丽萍', '陈付龙', '陈文', '罗永龙']",基于超图结构的社交网络推荐模型构建方法
"['卞维新', '徐德琴', '接标', '丁新涛', '陈付龙', '罗永龙']",一种结合方向扩散的指纹方向场提取方法
"['俞庆英', '罗永龙', '陈传明', '陈付龙', '卞维新', '孙丽萍', '郑孝遥']",一种隐私保护空间离群点检测方法
"['汪小寒', '范婷婷', '罗永龙', '何增宇', '胡王悟', '曹妍', '鲁婷婷']",Geohash压缩的地图匹配方法
"['郭良敏', '梁家坤', '董燕', '孙丽萍', '朱莹', '罗永龙', '郑孝遥']",基于情感与信任的协同过滤推荐方法
"['接标', '王咪', '卞维新', '丁新涛', '左开中', '方群', '罗永龙']",一种面向脑网络的结构化特征选择方法
"['郑孝遥', '朱德义', '韩宝婷', '孙丽萍', '郭良敏', '罗永龙']",基于群智感知的多目标多约束路线推荐方法
"['汪小寒', '张泽培', '何增宇', '王涛春', '孙丽萍', '郑孝遥', '罗永龙']",基于插值点的匿名隐私保护方法
"['左开中', '王永录', '刘蕊', '丁新涛', '罗永龙']",连续查询语义位置隐私保护方法及系统、连续查询系统
"['王涛春', '刘盈', '金鑫', '陈付龙', '赵传信', '罗永龙']",一种群智感知中基于k-匿名的位置及数据隐私保护方法
"['罗永龙', '邢凯', '宁雪莉', '邓劲松', '郑孝遥', '孙丽萍']",一种基于Geohash的网格化位置隐私保护方法及装置
"['左开中', '王永录', '刘蕊', '罗永龙']",一种路网环境下基于隐私偏好的语义位置隐私保护方法
"['俞庆英', '罗永龙', '陈传明', '陈付龙', '汪小寒', '胡桂银']",基于公共分片子序列的轨迹离群点检测方法
"['接标', '王正东', '王咪', '卞维新', '丁新涛', '左开中', '陈付龙', '罗永龙']",面向功能性脑网络的多阈值下基于多任务的特征选择方法
"['胡桂银', '俞庆英', '郭良敏', '郑孝遥', '罗永龙', '陈付龙']",基于U盾的Web数据存储和数据传输方法
"['郑孝遥', '徐致云', '胡朝焱', '汪祥舜', '孙丽萍', '胡桂银', '罗永龙']",一种基于用户情感和时间动态的旅游目的地推荐方法
"['王涛春', '罗永龙', '郭良敏', '左开中', '陈付龙']",一种隐私保护的两层传感器网络范围查询系统及方法
"['卞维新', '徐德琴', '接标', '丁玉祥', '方群', '罗永龙']",基于分类耦合字典稀疏表示的指纹图像超分辨率方法
"['陈付龙', '孙回', '罗永龙', '黄琤', '程徐', '孙丽萍', '郑孝遥', '张吉', '胡桂银']",基于网络层的安全传输方法
"['郑孝遥', '汪祥舜', '朱德义', '孙丽萍', '俞庆英', '汪小寒', '罗永龙']",基于位置服务的分布式差分隐私推荐方法
"['郑孝遥', '尤浩', '徐致云', '罗永龙', '汪祥舜', '胡朝焱', '孙丽萍', '胡桂银', '郭良敏']",基于群智感知的旅游路线个性化推荐方法
"['丁新涛', '胡桂银', '罗永龙', '郭良敏', '接标', '郑孝遥']",一种基于格点排列的十字绣模板识别方法
"['徐平安', '孙丽萍', '刘孝庆', '腾莉', '罗永龙']",基于匿名的网络最短路径隐私保护方法
"['郑孝遥', '鲍煜', '罗永龙', '丁新涛', '孙丽萍', '胡桂银', '俞庆英']",基于移动通信的信任推荐模型的构建方法及其构建系统
"['孙丽萍', '鲍舒婷', '慈尚', '郑孝遥', '罗永龙']",一种基于局部密度和聚类中心优化的密度峰聚类方法
"['慈尚', '孙丽萍', '鲍舒婷', '俞庆英', '罗永龙']",一种基于同态加密的隐私保护密度峰聚类方法
"['章海燕', '罗永龙', '俞庆英', '孙振强', '李雪静']",基于轨迹大数据的轨迹异常检测方法
"['陈付龙', '张紫阳', '罗永龙', '张程', '刘超', '孙丽萍', '郑孝遥', '俞庆英', '王涛春']",基于接头暗号匿名的物联网身份认证方法
"['王涛春', '胡桂银', '接标', '左开中', '陈付龙', '刘盈', '罗永龙']",传感器网络中面向隐私保护的连续数据聚集方法
"['盛佳佳', '孙丽萍', '杜亭莉', '郑孝遥', '陈付龙', '罗永龙']",一种基于半监督学习图像聚类的数据处理方法和系统
"['王涛春', '金鑫', '吕成梅', '陈付龙', '赵传信', '罗永龙']",一种群智感知中基于椭圆曲线的聚合数据隐私保护方法
"['王涛春', '刘盈', '金鑫', '赵传信', '吕成梅', '陈付龙', '罗永龙']",一种群智感知中基于切片的轨迹隐私保护方法
"['汪小寒', '张泽培', '韩慧慧', '左开中', '俞庆英', '接标', '罗永龙']",基于改进四叉树的差分隐私保护方法
"['王涛春', '刘盈', '左开中', '胡桂银', '接标', '陈付龙', '罗永龙']",传感器网络中安全可验证的连续数据收集方法
"['罗永龙', '陈文', '汪逸飞', '刘晴晴', '俞庆英']",基于Flickr地理标签元的旅游历史数据获取方法
"['陈付龙', '叶和平', '杨洁', '朱君茹', '齐学梅', '罗永龙', '赵传信', '郑孝遥', '孙丽萍']",社区医疗物联网隐私保护方法
"['王涛春', '吕成梅', '王成田', '陈付龙', '赵传信', '罗永龙']",基于安全求和的移动群智感知隐私保护真值发现方法
"['汪小寒', '罗永龙', '张泽培', '韩慧慧', '夏芸', '左开中']",一种基于改进KD树数据结构的隐私保护方法
"['孙丽萍', '陶涛', '郭良敏', '陈付龙', '罗永龙']",一种基于数据安全的混合聚类方法
"['陈付龙', '孙云翔', '杨洁', '叶和平', '罗永龙', '齐学梅', '王宏涛', '朱君茹']",一种基于串行通信接口的FPGA在线验证结构和方法
"['汪小寒', '罗永龙', '张泽培', '何增宇', '胡王悟']",一种出租车热点区域的提取方法
"['郑孝遥', '汪祥舜', '罗永龙', '郭良敏', '胡桂银']",一种基于差分隐私保护的谱聚类方法
"['郑孝遥', '胡朝焱', '罗永龙', '陈文', '孙丽萍', '陈付龙']",一种基于数据流的敏感数据挖掘保护方法
"['接标', '王正东', '卞维新', '丁新涛', '周文', '左开中', '陈付龙', '罗永龙']",一种基于权值分布的阈值化方法
"['接标', '左开中', '王涛春', '丁新涛', '胡桂银', '罗永龙']",一种基于Laplacian算子的特征选择方法
