成果作者,成果标题
"['黄青松', '陈尧文', '谢先章', '刘利军', '冯旭鹏']",基于实体关系标注策略的中医电子病历实体关系提取方法
"['黄青松', '段彦隆', '赵晓乐', '刘利军', '冯旭鹏', '傅铁威']",基于卷积神经网络对肺结节的恶性程度进行分类的方法
"['黄青松', '尤诚诚', '余慧', '刘利军', '冯旭鹏']",一种基于词性增量迭代的在线医疗文本症状识别方法
"['黄青松', '张帅威', '刘利军', '冯旭鹏']",基于多视图、多尺度、多任务肺结节分类方法
"['王林珠', '李长荣', '庄昌凌', '李翔', '龙潇']",一种减少加废钢时粘渣的废钢槽及方法
"['王林珠', '李长荣', '庄昌凌', '李翔']",一种防止转炉加废钢时废钢槽滑落的装置及使用方法
"['王林珠', '李翔', '李长荣', '庄昌凌', '龙潇']",一种转炉喷补出钢口辅助装置及方法
"['封海波', '樊静', '张琳梓', '刘前虔', '冯洋洋', '吴代燕']",一种纳米微球乳液合成装置
"['封海波', '樊静', '张琳梓', '刘前虔', '冯洋洋', '吴代燕']",一种高压纳米脂质体膜挤出装置
"['封海波', '樊静', '张琳梓', '刘前虔', '冯洋洋', '吴代燕']",一种纳米级药物颗粒制备装置
"['封海波', '樊静', '张琳梓', '刘前虔', '冯洋洋', '吴代燕']",一种功能性纳米微球的制备装置
"['李晓鹏', '刘建立', '张佳宝']",种植物密度测量装置和种植物密度测量方法
"['李晓鹏', '何承东', '刘建立', '张佳宝', '闫一凡']",土壤检测装置和土壤含水量及容重检测方法
"['李晓鹏', '赵原', '刘金涛', '刘建立', '张佳宝']",融合宇宙射线中子法和无人机遥感的中小尺度土壤水监测系统及方法
"['李晓鹏', '杨坤', '王晟', '刘建立', '张佳宝']",探针式土壤墒情传感器
"['李晓鹏', '杨坤', '王晟', '刘建立', '张佳宝']",基于FDR的无线土壤墒情检测装置
"['郭辉', '冯晶晶', '高艺', '陈玉']",一种建筑材料切割装置
"['郭辉', '尹明升', '邓妍池', '孙亚斌', '岳建鑫', '陈玉']",一种多带隙组合调控的混凝土超材料结构及其制备方法
"['郭辉', '陈玉', '姜欣怡', '蒋林志', '卢春江', '凌星鹏']",一种耐伽玛射线辐照聚脲材料及其制备方法
"['郭辉', '卢春江', '陈玉', '顾蒙', '蒋林志', '凌星鹏', '姜欣怡']",一种用于泡沫铝的抗爆耐冲击聚脲涂料及其制备方法
"['郭辉', '周自荣', '陈玉']",一种用于玻璃防护的透明保温聚脲涂层材料及其制备方法
"['李晓鹏', '杨坤', '王晟', '刘建立', '张佳宝']",土壤墒情检测装置
"['张志军', '杨珩', '李乾利', '李慧慧']",基于钙钛矿纳米晶的γ射线闪烁转换屏的制备方法
"['李世美', '孟宪伟', '谭龙飞', '任湘菱', '吴琼', '付长慧']",一种可降解铋基微波诊疗试剂及其制备方法和应用
