,专利名称,发明人,编号,依托机构,所属项目
51,,"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '于磊', '邱颖', '杨思敏', '赵飞', '王丽晶', '卢亚静', '周星', '张岑', '张冠宇']",202021848567.1,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究
52,,"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张书函', '王丽晶', '张岑', '周星', '卢亚静', '于磊', '邱颖', '杨思敏', '赵曦月']",202021848504.6,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究
53,,"['游进军', '薛志春', '林鹏飞', '牛存稳', '魏娜', '贺华翔', '马真臻', '杨朝晖', '王婷']",201910625887.6,中国水利水电科学研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究
54,,"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张岑', '邱颖', '于磊', '张书函', '周星', '张冠宇', '赵羲月']",202021831871.5,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究
55,,"['陶飞', '王雨澄', '左颖', '黄巍']",ZL201911163211.6,北京航空航天大学,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
56,,"['田凌', '郑孟蕾', '代菁洲', '刘思超']",202010732265.6,清华大学,稀疏设计空间压缩原理与演进式设计智能创成方法研究
57,,"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张书函', '于磊', '卢亚静', '杨思敏', '赵飞', '张岑', '王丽晶', '周星', '孙冉']",202021935042.1,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究
58,,"['薛志春', '邸苏闯', '潘兴瑶', '刘洪禄', '李永坤', '张书函', '孙冉', '邱颖', '张岑', '卢亚静', '王丽晶', '赵飞']",202021893191.6,北京市水科学技术研究院,基于集合降雨预报和可变模糊集的洪水预报方法研究
59,,"['陈胜', '张健', '范呈昱', '许听雨', '俞晓东', '张磊']",ZL201910331653.0,河海大学,准静态边界条件对输水系统水锤压力的影响研究
60,,"['聂如松', '冷伍明', '程龙虎', '董俊利', '魏广帅', '杨奇', '徐方', '梅慧浩', '赵春彦', '杜市委']",ZL201821604041.1,中南大学,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
61,,"['刘路广', '吴瑕', '关洪林', '崔远来', '潘少斌', '杨小伟', '王剑', '焦平金', '董苇', '张建涛', '陈绪勋']",202010446542.7,湖北省水利水电科学研究院,稻田水氮耦合尺度效应及其机理
62,,"['胡超', '陈媛媛', '陈廷才', '徐盛']",CN201910512253.X,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控
63,,"['刘晓娜', '杨改强', '霍丽娟', '王婷']",ZL201821248129.4,太原科技大学,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
64,,"['黎颖', '张留艳', '揭晓华', '麦永津']",ZL201710240018.2,广东工业大学,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
65,,"['聂如松', '董俊利', '魏广帅', '冷伍明', '程龙虎', '杨奇', '徐方', '梅慧浩', '赵春彦', '杜市委']",ZL201821604014.4,中南大学,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
66,,"['胡超', '陈廷才', '周宜红']",202011358325.9,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控
67,,"['杨春霞', '侯舢舢', '赵梦晌', '姚婷婷', '陈会向']",201910588699.0,河海大学,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
68,,"['胡超', '王忠耀', '周宜红', '喻葭临', '杨泽艳', '陈媛媛']",CN201910512246.X,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控
69,,"['胡超', '陈媛媛', '杨泽艳', '喻葭临', '王忠耀']",CN201910512265.2,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控
70,,"['蒋玲', '张超', '贾冕茜', '邓延安', '熊良林', '张华峰', '王俊佳', '何乐乐']",ZL 2018 1 0465877.6,云南民族大学,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
71,,"['曹秀丽', '叶罡', '李强', '李蓓', '孙平平']",202010318031.7,浙江水利水电学院,水工混凝土早龄期热膨胀系数的多尺度预测模型
72,,"['杨春霞', '张振', '胡岩', '赵梦晌', '丁艳', '刘惠文']",202010622208.2,河海大学,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
73,,"['罗松', '揭晓华', '麦永津', '张留艳', '郑琼彬', '张艳梅']",ZL201610615931.1,广东工业大学,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
74,,"['王斌', '周傲', '李建国']",201921320611.9,中国科学院武汉岩土力学研究所,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
75,,"['李艳梅', '吴军军', '张伯斗', '胡洪果', '李文浩', '赵朗', '陈永湘']",202010411675.0[P],清华大学,新型免疫刺激剂的设计、合成及免疫评价
76,,"['蒋玲', '徐琬婷', '张超', '余红英', '熊良林', '王子阳', '吴伟越', '肖志玉']",ZL. 2018 1 0529968.1,云南民族大学,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
77,,"['吴桐', '刁铮亮', '蒋俊杰', '黎颖', '张留艳']",ZL201710882089.2,广东工业大学,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
78,,"['胡超', '周宜红', '潘志国']",CN201910459411.X,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控
79,,"['杜雅楠', '杨改强', '罗煜清', '靳浩堂']",ZL201921967382.X,太原科技大学,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究
80,,"['刘日成', '蔚立元', '靖洪文', '尹乾', '韩观胜', '李博']",CN202010704189.8,中国矿业大学,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
81,,"['徐方', '韩諝', '冷伍明', '聂如松', '杨奇']",ZL201922186735.9,中南大学,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
82,,"['闫峰', '宋凡超', '吴诗琪', '杨雨欣', '王昕', '周修龙']",ZL202020334684.X,南昌大学,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
83,,"['翟安邦', '王进', '陆国栋', '戚仁杰', '张海运', '杨鹏程']",201911215079.9,浙江大学,弱刚度工件的多机械臂协调加工方法研究
